Ander Iturraspe	Midfielder	Spain	Athletic Bilbao
Fernando Torres	Forward	Spain	Chelsea
David Villa	Forward	Spain	Atlético Madrid
Pedro Rodríguez	Forward	Spain	Barcelona
Fernando Llorente	Forward	Spain	Juventus
Álvaro Negredo	Forward	Spain	Manchester City
Diego Costa	Forward	Spain	Atlético Madrid
Hugo Lloris (C)	Goal Keeper	France	Tottenham Hotspur
Mickaël Landreau	Goal Keeper	France	Bastia
Stéphane Ruffier[34]	Goal Keeper	France	Saint-Étienne
Patrice Evra	Defender	France	Manchester United
Bacary Sagna	Defender	France	Arsenal
Mathieu Debuchy	Defender	France	Newcastle United
Mamadou Sakho	Defender	France	Liverpool
Laurent Koscielny	Defender	France	Arsenal
Raphaël Varane	Defender	France	Real Madrid
Eliaquim Mangala	Defender	France	Porto
Lucas Digne	Defender	France	Paris Saint-Germain
Franck Ribéry	Midfielder	France	Bayern Munich
Mathieu Valbuena	Midfielder	France	Marseille
Yohan Cabaye	Midfielder	France	Paris Saint-Germain
Blaise Matuidi	Midfielder	France	Paris Saint-Germain
Moussa Sissoko	Midfielder	France	Newcastle United
Rio Mavuba	Midfielder	France	Lille
Paul Pogba	Midfielder	France	Juventus
Clément Grenier	Midfielder	France	Lyon
Antoine Griezmann	Midfielder	France	Real Sociedad
Karim Benzema	Forward	France	Real Madrid
Olivier Giroud	Forward	France	Arsenal
Loïc Rémy	Forward	France	Newcastle United
Adam Kwarasey	Goal Keeper	Ghana	Strømsgodset
Fatau Dauda	Goal Keeper	Ghana	Orlando Pirates
Steven Adams	Goal Keeper	Ghana	Aduana Stars
Samuel Inkoom	Defender	Ghana	Platanias
Harrison Afful	Defender	Ghana	Espérance
John Boye	Defender	Ghana	Rennes
Jonathan Mensah	Defender	Ghana	Évian
Daniel Opare	Defender	Ghana	Standard Liège
Jerry Akaminko	Defender	Ghana	Eskişehirspor
Rashid Sumaila	Defender	Ghana	Mamelodi Sundowns
Jeff Schlupp	Defender	Ghana	Leicester City
Sulley Muntari	Midfielder	Ghana	Milan
Kwadwo Asamoah	Midfielder	Ghana	Juventus
Michael Essien	Midfielder	Ghana	Milan
Emmanuel Agyemang-Badu	Midfielder	Ghana	Udinese
André Ayew	Midfielder	Ghana	Marseille
Christian Atsu	Midfielder	Ghana	Vitesse
Wakaso Mubarak	Midfielder	Ghana	Rubin Kazan
Mohammed Rabiu	Midfielder	Ghana	Kuban Krasnodar
Albert Adomah	Midfielder	Ghana	Middlesbrough
Kevin-Prince Boateng	Midfielder	Ghana	Schalke 04
Afriyie Acquah	Midfielder	Ghana	Parma
Asamoah Gyan	Forward	Ghana	Al-Ain
Majeed Waris	Forward	Ghana	Valenciennes
Jordan Ayew	Forward	Ghana	Sochaux
David Accam	Forward	Ghana	Helsingborg
