#Italy
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
,GK,Anatoliy Trubin,1 August 2001 (aged 19),2,0,Shakhtar Donetsk
,,,,,,
,DF,Mykola Matviyenko,2 May 1996 (aged 25),34,0,Shakhtar Donetsk
,DF,Oleksandr Karavayev,2 June 1992 (aged 29),31,1,Dynamo Kyiv
,DF,Serhiy Kryvtsov,15 March 1991 (aged 30),22,0,Shakhtar Donetsk
,DF,Eduard Sobol,20 April 1995 (aged 26),19,0,Club Brugge
,DF,Vitaliy Mykolenko,29 May 1999 (aged 22),14,0,Dynamo Kyiv
,DF,Bohdan Mykhaylichenko,21 March 1997 (aged 24),6,0,Anderlecht
,DF,Illya Zabarnyi,1 September 2002 (aged 18),6,0,Dynamo Kyiv
,DF,Oleksandr Tymchyk,20 January 1997 (aged 24),4,0,Dynamo Kyiv
,DF,Denys Popov,17 February 1999 (aged 22),1,0,Dynamo Kyiv
,DF,Oleksandr Syrota,11 June 2000 (aged 21),0,0,Dynamo Kyiv
,,,,,,
,MF,Andriy Yarmolenko,23 October 1989 (aged 31),92,38,West Ham United
,MF,Taras Stepanenko,8 August 1989 (aged 31),60,3,Shakhtar Donetsk
,MF,Oleksandr Zinchenko,15 December 1996 (aged 24),38,5,Manchester City
,MF,Ruslan Malinovskyi,4 May 1993 (aged 28),35,6,Atalanta
,MF,Serhiy Sydorchuk,2 May 1991 (aged 30),35,3,Dynamo Kyiv
,MF,Viktor Tsyhankov,15 November 1997 (aged 23),26,6,Dynamo Kyiv
,MF,Roman Bezus,26 September 1990 (aged 30),23,5,Gent
,MF,Marlos,7 June 1988 (aged 33),23,1,Shakhtar Donetsk
,MF,Yevhenii Makarenko,21 May 1991 (aged 30),11,0,Kortrijk
,MF,Mykola Shaparenko,4 October 1998 (aged 22),10,0,Dynamo Kyiv
,MF,Oleksandr Zubkov,3 August 1996 (aged 24),9,0,Ferencváros
,MF,Heorhiy Sudakov,1 September 2002 (aged 18),1,0,Shakhtar Donetsk
,MF,Artem Bondarenko,21 August 2000 (aged 20),0,0,Mariupol
